Id pesée;Date;Heure;Poids;Objectif;Moyenne;Produit;Nb Convives;Nb Avis Positifs;Nb Avis Moyens;Nb Avis Négatifs;Numéro de table;Type de table;Établissement
56654;05/11/2024;13:13;3650;30;40;RESTES ALIMENTAIRES;90;0;0;0;19300002;Table;Trappes Ecole Cocteau
56856;07/11/2024;12:56;4660;30;52;RESTES ALIMENTAIRES;89;0;0;0;19300002;Table;Trappes Ecole Cocteau
56977;08/11/2024;13:14;8450;30;94;RESTES ALIMENTAIRES;89;0;0;0;19300002;Table;Trappes Ecole Cocteau
57084;12/11/2024;13:07;1170;30;12;RESTES ALIMENTAIRES;94;0;0;0;19300002;Table;Trappes Ecole Cocteau
57204;13/11/2024;13:19;5840;30;58;RESTES ALIMENTAIRES;100;0;0;0;19300002;Table;Trappes Ecole Cocteau
57272;14/11/2024;13:01;3550;30;35;RESTES ALIMENTAIRES;100;0;0;0;19300002;Table;Trappes Ecole Cocteau
57401;15/11/2024;12:46;4210;30;43;RESTES ALIMENTAIRES;96;0;0;0;19300002;Table;Trappes Ecole Cocteau
57551;18/11/2024;13:03;2680;30;28;RESTES ALIMENTAIRES;93;0;0;0;19300002;Table;Trappes Ecole Cocteau
57671;19/11/2024;13:24;4130;30;44;RESTES ALIMENTAIRES;93;0;0;0;19300002;Table;Trappes Ecole Cocteau
57809;20/11/2024;12:58;1060;30;22;RESTES ALIMENTAIRES;47;0;0;0;19300002;Table;Trappes Ecole Cocteau
57878;21/11/2024;13:03;8860;30;85;RESTES ALIMENTAIRES;104;0;0;0;19300002;Table;Trappes Ecole Cocteau
57998;22/11/2024;12:46;10070;30;125;RESTES ALIMENTAIRES;80;0;0;0;19300002;Table;Trappes Ecole Cocteau
58120;25/11/2024;13:21;3230;30;35;RESTES ALIMENTAIRES;90;0;0;0;19300002;Table;Trappes Ecole Cocteau
58303;26/11/2024;13:31;11450;30;120;RESTES ALIMENTAIRES;95;0;0;0;19300002;Table;Trappes Ecole Cocteau
58416;27/11/2024;15:04;7480;30;74;RESTES ALIMENTAIRES;100;0;0;0;19300002;Table;Trappes Ecole Cocteau
58438;28/11/2024;13:11;1720;30;16;RESTES ALIMENTAIRES;104;0;0;0;19300002;Table;Trappes Ecole Cocteau
58605;29/11/2024;14:06;2740;30;27;RESTES ALIMENTAIRES;99;0;0;0;19300002;Table;Trappes Ecole Cocteau
56542;04/11/2024;13:10;1490;25;16;RESTES ALIMENTAIRES;93;0;0;0;19300001;Table;Trappes Ecole Flaubert
56656;05/11/2024;13:11;5200;25;56;RESTES ALIMENTAIRES;92;0;0;0;19300001;Table;Trappes Ecole Flaubert
56858;07/11/2024;13:05;4440;25;42;RESTES ALIMENTAIRES;104;0;0;0;19300001;Table;Trappes Ecole Flaubert
56979;08/11/2024;13:03;3760;25;39;RESTES ALIMENTAIRES;95;0;0;0;19300001;Table;Trappes Ecole Flaubert
57086;12/11/2024;13:22;1380;25;14;RESTES ALIMENTAIRES;96;0;0;0;19300001;Table;Trappes Ecole Flaubert
57274;14/11/2024;13:09;5040;25;48;RESTES ALIMENTAIRES;105;0;0;0;19300001;Table;Trappes Ecole Flaubert
57403;15/11/2024;13:10;9300;25;95;RESTES ALIMENTAIRES;97;0;0;0;19300001;Table;Trappes Ecole Flaubert
